Functional Module,Primary Symptom,Secondary Symptom,Solution,Related Error Code,Query Page,Applicable Models,If not solved,Level,父记录
Mapping,Satellite Map,Map Lost,"1. If the RTK base station position changes significantly, the map may be lost and needs to be recreated.
2. The map may have been manually deleted by mistake.",,,"luba1, luba2, luba2x, yuka 2024",Needs FAE Upgrade,,
Mapping,Satellite Map,Satellite Map Offset,"1. A certain deviation is normal.
2. The user can enter the Satellite Map to manually correct the deviation.",,,"luba1, luba2, luba2x, yuka 2024",Needs FAE Upgrade,,
Mapping,Satellite Map,Satellite Map Background Turns Black,"1. Confirm that both the firmware and the app are the latest versions.
2. Confirm that the network connection is normal, and check for any issues caused by weak Wi-Fi or 4G signals.",,,luba2x,Needs FAE Upgrade,,
Mapping,Docking Issue,Cannot Reset Charging Station Position,"1. Check whether the mower's positioning at the dock is ""Good"". If not ""Good"", move the charging station to an open area.
2. Check whether the charging station is functioning normally.",,,"luba1, luba2, yuka 2024",Needs FAE Upgrade,,
Mapping,Docking Issue,No Station but App Shows RTK Position Drift,"1. Verify whether the RTK has been reinstalled.
2. Guide the user to re-position the RTK and re-draw the lawn.
3. Check whether the RTK is securely installed.",,,"luba2, yuka 2024",Needs FAE Upgrade,,
Mapping,Docking Issue,No Charging Station but App Prompts Relocation,"1. Return the mower to the charging station and use the ""Relocate Charging Station"" function in the app.
2. Guide the user to place the charging station in a position with at least 90° of open sky view of the lawn.",1301 Charging station position has been changed,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.","luba2, yuka 2024",Needs FAE Upgrade,,
Mapping,Path Connection Issue,"App Shows No Path, Customer Gets Error Drawing Path","1. Confirm that both the firmware and the app are the latest versions.
2. Try to re-position the charging station and redraw the path.",1114 Connection path already exists,,"luba2x, luba mini, luba mini LiDAR, yuka 2025",Needs FAE Upgrade,,
Mapping,Path Connection Issue,Failed to Add Path Between Zones,"1. Create the starting point from an existing zone, manually drive the mower to the zone to be created, then set the ending point.
2. Do not lift the mower during manual control; face it toward the open environment throughout.",1188 Data processing error,,"yuka mini2, yuka mini Vision, yuka mini LiDAR",Needs FAE Upgrade,,
Mapping,Mapping Issue,Cannot Exit Station to Map / Positioning Error During Mapping,"1. Confirm whether the firmware is the latest version.
2. Remove any possible obstacles in front of the charging station.",,1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.,"yuka mini2, yuka mini Vision, yuka mini LiDAR",Needs FAE Upgrade,,
Mapping,Mapping Issue,Charging Station to Work Zone Path Exceeds Limit,"1. Try to drive the mower in a straight line, avoiding frequent U-turns and reversing.
2. A buffer zone can be created in between.",,,"yuka mini2, yuka mini Vision, yuka mini LiDAR",Needs FAE Upgrade,,
